                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  0.892,                0.45066,                 1.1663,                0.99397,                0.99684,                0.99352,                0.75549,                0.92824,                0.35273,                 1.1547,             0.00025131,             0.00025131,             0.00025131
                     36,                0.89056,                0.45798,                 1.1833,                0.99674,                0.99643,                 0.9941,                0.76331,                0.90694,                 0.3415,                 1.1242,             0.00023608,             0.00023608,             0.00023608
                     37,                0.88246,                0.45142,                 1.1727,                 0.9944,                0.99742,                0.99368,                0.76451,                0.92897,                 0.3455,                 1.1371,             0.00022086,             0.00022086,             0.00022086
                     38,                0.88156,                0.43864,                  1.168,                0.99329,                0.99522,                0.99369,                0.76299,                 0.9217,                0.34087,                 1.1308,             0.00020563,             0.00020563,             0.00020563
                     39,                0.87611,                0.43644,                 1.1613,                0.99107,                0.99831,                0.99417,                0.75777,                0.92663,                0.33856,                 1.1466,              0.0001904,              0.0001904,              0.0001904
                     40,                0.85171,                0.42996,                  1.157,                0.99515,                0.99729,                0.99341,                 0.7659,                0.92207,                0.33485,                 1.1361,             0.00017518,             0.00017518,             0.00017518
                     41,                0.80584,                 0.3594,                 1.1264,                 0.9914,                0.99419,                0.99377,                0.76341,                0.91624,                0.33913,                 1.1346,             0.00015995,             0.00015995,             0.00015995
                     42,                0.80186,                0.35142,                 1.1118,                0.99195,                0.99489,                0.99352,                0.76963,                0.91598,                0.33827,                 1.1362,             0.00014473,             0.00014473,             0.00014473
                     43,                 0.7895,                0.34447,                 1.1031,                0.99454,                0.99453,                0.99398,                0.76925,                0.91544,                0.32809,                 1.1284,              0.0001295,              0.0001295,              0.0001295
                     44,                 0.7819,                0.33739,                 1.0922,                0.99438,                0.99554,                0.99409,                0.77263,                0.91825,                0.32954,                 1.1131,             0.00011427,             0.00011427,             0.00011427
                     45,                0.77723,                0.33568,                 1.0886,                 0.9944,                0.99592,                0.99392,                0.77128,                0.91362,                0.33247,                 1.1108,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     46,                0.77055,                0.32575,                 1.0811,                0.99423,                0.99733,                0.99388,                0.76984,                0.91274,                0.32811,                 1.1195,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     47,                  0.766,                0.32752,                 1.0829,                0.99456,                0.99734,                0.99408,                0.77568,                0.90495,                0.31994,                 1.1273,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     48,                0.76363,                0.31957,                  1.095,                0.99445,                 0.9965,                0.99408,                0.77377,                0.91042,                0.32334,                 1.1342,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     49,                0.75099,                0.31424,                 1.0839,                0.99464,                0.99619,                0.99395,                0.77253,                0.90409,                0.32284,                 1.1264,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     50,                0.75039,                0.31233,                 1.0886,                0.99467,                0.99629,                0.99396,                 0.7737,                0.90264,                 0.3182,                 1.1263,             2.2916e-05,             2.2916e-05,             2.2916e-05
